Belgium,1851,0.156
Belgium,1852,0.114
Belgium,1853,0.114
Belgium,1854,0.114
Belgium,1855,0.097
Belgium,1856,0.241
Belgium,1857,0.241
Belgium,1858,0.241
Belgium,1859,0.241
Belgium,1860,0.241
Belgium,1864,0.5
Belgium,1865,1.165
Belgium,1866,0.212
Belgium,1867,0.111
Belgium,1868,0.17
Belgium,1869,0.329
Belgium,1870,0.818
Belgium,1871,4.168
Belgium,1872,1.56
Belgium,1873,0.333
Belgium,1874,0.369
Belgium,1875,0.313
Belgium,1876,0.27
Belgium,1877,0.669
Belgium,1878,0.678
Belgium,1879,0.43
Belgium,1880,0.748
Belgium,1881,0.48
Belgium,1882,0.279
Belgium,1883,0.31
Belgium,1884,0.229
Belgium,1885,0.279
Belgium,1886,0.204
Belgium,1887,0.1
Belgium,1888,0.146
Belgium,1889,0.202
Belgium,1890,0.105
Belgium,1891,0.211
Belgium,1892,0.408
Belgium,1893,0.336
Belgium,1894,0.085
Belgium,1895,0.046
Belgium,1896,0.02
Belgium,1897,0.021
Belgium,1898,0.024
Belgium,1899,0.038
