Sweden,1774,1.032
Sweden,1775,0.631
Sweden,1776,0.737
Sweden,1777,0.943
Sweden,1778,3.177
Sweden,1779,7.196
Sweden,1780,1.593
Sweden,1781,0.699
Sweden,1782,1.166
Sweden,1783,1.836
Sweden,1784,5.826
Sweden,1785,2.37
Sweden,1786,0.313
Sweden,1787,0.825
Sweden,1788,2.544
Sweden,1789,3.148
Sweden,1790,2.74
Sweden,1791,1.425
Sweden,1792,0.88
Sweden,1793,0.944
Sweden,1794,1.758
Sweden,1795,2.956
Sweden,1796,1.963
Sweden,1797,0.751
Sweden,1798,0.585
Sweden,1799,1.609
Sweden,1800,5.126
Sweden,1801,2.566
Sweden,1802,0.646
Sweden,1803,0.613
Sweden,1804,0.608
Sweden,1805,0.452
Sweden,1806,0.616
Sweden,1807,0.888
Sweden,1808,0.759
Sweden,1809,1.009
Sweden,1810,0.347
Sweden,1811,0.291
Sweden,1812,0.167
Sweden,1813,0.225
Sweden,1814,0.126
Sweden,1815,0.191
Sweden,1816,0.277
Sweden,1817,0.096
Sweden,1818,0.12
Sweden,1819,0.063
Sweden,1820,0.055
Sweden,1821,0.014
Sweden,1822,0.004
Sweden,1823,0.015
Sweden,1824,0.226
Sweden,1825,0.449
Sweden,1826,0.223
Sweden,1827,0.212
Sweden,1828,0.09
Sweden,1829,0.019
Sweden,1830,0.036
Sweden,1831,0.211
Sweden,1832,0.213
Sweden,1833,0.387
Sweden,1834,0.352
Sweden,1835,0.147
Sweden,1836,0.045
Sweden,1837,0.117
Sweden,1838,0.583
Sweden,1839,0.621
Sweden,1840,0.207
Sweden,1841,0.075
Sweden,1842,0.018
Sweden,1843,0.003
Sweden,1870,0.183
Sweden,1871,0.078
Sweden,1872,0.081
Sweden,1873,0.261
Sweden,1874,0.936
Sweden,1875,0.461
Sweden,1876,0.136
Sweden,1877,0.079
Sweden,1878,0.044
Sweden,1879,0.031
Sweden,1880,0.038
Sweden,1881,0.065
Sweden,1882,0.034
Sweden,1883,0.027
Sweden,1884,0.012
Sweden,1885,0.0008
Sweden,1886,0.0002
Sweden,1887,0.0006
Sweden,1888,0.0015
Sweden,1889,0.0004
Sweden,1890,0.0002
Sweden,1891,0.0002
Sweden,1892,0.0008
Sweden,1893,0.005
Sweden,1894,0.0035
Sweden,1895,0
Sweden,1896,0
Sweden,1897,0
Sweden,1898,0.0002
Sweden,1899,0
